MODEL_NAME	TASK_TYPE	TIME(S)	BIN_SIZE/START_POINT
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	IICR	2085.15	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.02	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1395.85	100/1/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1394.93	100/2/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1401.68	100/3/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1397.1	100/4/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	IICR	1879.05	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	41.21	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.01	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.02	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	IICR	2234.0	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	48.16	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.02	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.02	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	91.35	G_1_1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1433.15	100/1/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1401.5	100/1/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1396.58	100/2/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1404.21	100/2/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1392.01	100/3/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1408.68	100/3/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1394.59	100/4/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1583.83	100/4/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1394.28	100/5/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1577.33	100/5/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1384.16	100/6/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1570.87	100/6/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1204.37	100/7/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1404.52	100/7/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1327.26	100/8/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1411.53	100/8/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1396.66	100/9/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1455.4	100/9/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1381.72	100/10/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1470.85	100/10/4_25_2_4_6
